Serviceeinrichtung";"Stationspreis SPFV - Anteil
Serviceeinrichtung";Bemerkung
50;VM BW;Albstadt-Lautlingen;6;Baden-Württemberg;2,35 €;6,18 €;
51;VRR;Aldekerk;6;Nordrhein-Westfalen;2,76 €;7,00 €;
7960;VM BW;Aldingen;6;Baden-Württemberg;2,35 €;6,18 €;
52;BEG;Aletshausen;7;Bayern;2,13 €;5,65 €;
53;VBB Berlin;Alexanderplatz;3;Berlin;3,81 €;10,19 €;
54;LNVG;Alfeld (Leine);4;Niedersachsen;4,96 €;13,09 €;
2392;go.R;Alfter-Impekoven;6;Nordrhein-Westfalen;3,77 €;8,76 €;
6828;go.R;Alfter-Witterschlick;6;Nordrhein-Westfalen;3,77 €;8,76 €;
56;LNVG;Algermissen;6;Niedersachsen;4,23 €;10,34 €;
2664;NVV;Alheim-Heinebach;6;Hessen;2,73 €;7,26 €;
57;RH;Aligse;6;Niedersachsen;4,47 €;11,92 €;
6091;ZVNL;Allee-Center Leipzig;6;Sachsen;2,56 €;6,83 €;
59;RMV;Allendorf (Dillkr);7;Hessen;1,88 €;4,96 €;
60;VM BW;Allensbach;4;Baden-Württemberg;3,92 €;10,18 €;
7979;BWVI;Allermöhe;4;Hamburg;2,79 €;6,93 €;
99;BEG;Allersberg (Rothsee);6;Bayern;2,89 €;7,59 €;
61;VM BW;Allmendingen;6;Baden-Württemberg;2,35 €;6,18 €;
62;VRR;Alpen;7;Nordrhein-Westfalen;2,87 €;7,64 €;
63;VM BW;Alpirsbach;6;Baden-Württemberg;2,35 €;6,18 €;
64;ZÖPNV Süd;Alsenz;6;Rheinland-Pfalz;1,99 €;5,22 €;
65;RMV;Alsfeld (Oberhess);5;Hessen;2,40 €;6,30 €;
66;ZÖPNV Süd;Alsheim;5;Rheinland-Pfalz;2,95 €;7,78 €;
67;VBB;Alt Hüttendorf;6;Brandenburg;3,98 €;10,22 €;
71;VBB;Alt Rosenthal;6;Brandenburg;3,98 €;10,22 €;
73;VRStutt;Altbach;3;Baden-Württemberg;2,90 €;7,67 €;
74;VBB;Altdöbern;6;Brandenburg;3,98 €;10,22 €;
75;BEG;Altdorf (b Nürnberg);6;Bayern;2,89 €;7,59 €;
76;BEG;Altdorf West;6;Bayern;2,89 €;7,59 €;
77;BEG;Alte Veste;6;Bayern;2,89 €;7,59 €;
78;BWVI;Alte Wöhr;4;Hamburg;2,79 €;6,93 €;
79;VMV;Altefähr;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
80;NWL;Altena (Westf);4;Nordrhein-Westfalen;5,03 €;11,82 €;
81;ZVRP Nord;Altenahr;6;Rheinland-Pfalz;2,27 €;5,85 €;
82;BEG;Altenau (Bay);7;Bayern;2,13 €;5,65 €;
83;ZVNL;Altenbach;6;Sachsen;2,56 €;6,83 €;
84;ZÖPNV Süd;Altenbamberg;6;Rheinland-Pfalz;1,99 €;5,22 €;
85;NWL;Altenbeken;3;Nordrhein-Westfalen;7,97 €;17,74 €;
87;NWL;Altenberge;6;Nordrhein-Westfalen;3,85 €;9,87 €;
89;TLBV;Altenburg;5;Thüringen;3,74 €;9,97 €;
94;BEG;Altenerding;6;Bayern;2,89 €;7,59 €;
95;RMV;Altenfeld (Rhön);7;Hessen;1,88 €;4,96 €;
96;ZÖPNV Süd;Altenglan;6;Rheinland-Pfalz;1,99 €;5,22 €;
97;NAH.SH;Altengörs;7;Schleswig-Holstein;2,21 €;5,91 €;
105;ZVRP Nord;Altenkirchen (Westerw);6;Rheinland-Pfalz;2,27 €;5,85 €;
108;NWL;Altenseelbach;7;Nordrhein-Westfalen;2,48 €;6,41 €;
109;RMV;Altenstadt (Hess);6;Hessen;2,48 €;6,52 €;
110;BEG;Altenstadt (Iller);6;Bayern;2,89 €;7,59 €;
8152;BEG;Altenstadt (Waldnaab);6;Bayern;2,89 €;7,59 €;
2806;RMV;Altenstadt-Höchst;6;Hessen;2,48 €;6,52 €;
3735;RMV;Altenstadt-Lindheim;6;Hessen;2,48 €;6,52 €;
111;VMV;Altentreptow;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
113;VMV;Altenwillershagen;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
114;TLBV;Altersbach;7;Thüringen;2,70 €;7,22 €;
3072;VBB;Altes Lager;7;Brandenburg;3,21 €;8,56 €;
115;VM BW;Altglashütten-Falkau;6;Baden-Württemberg;2,35 €;6,18 €;
116;VBB Berlin;Altglienicke;4;Berlin;2,00 €;5,33 €;
117;BEG;Althegnenberg;5;Bayern;2,72 €;7,01 €;
119;RMV;Altheim (Hess);6;Hessen;2,48 €;6,52 €;
121;VMV;Althof;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
124;VMS;Altmittweida;6;Sachsen;3,63 €;9,66 €;
126;BEG;Altomünster;6;Bayern;2,89 €;7,59 €;
128;VBB;Altranft;6;Brandenburg;3,98 €;10,22 €;
7719;VBB Berlin;Alt-Reinickendorf;5;Berlin;1,96 €;5,19 €;
130;VM BW;Altshausen;6;Baden-Württemberg;2,35 €;6,18 €;
131;BEG;Altstädten (Allgäu);6;Bayern;2,89 €;7,59 €;
132;VM BW;Alttann;7;Baden-Württemberg;1,90 €;5,07 €;
133;ZÖPNV Süd;Alzey;3;Rheinland-Pfalz;3,96 €;10,57 €;
7531;ZÖPNV Süd;Alzey Süd;6;Rheinland-Pfalz;1,99 €;5,22 €;
134;BEG;Amberg;5;Bayern;2,72 €;7,01 €;
263;TLBV;Ammern;7;Thüringen;2,70 €;7,22 €;
139;BEG;Ampfing;5;Bayern;2,72 €;7,01 €;
140;NASA;Amsdorf;6;Sachsen-Anhalt;3,34 €;8,90 €;
141;VM BW;Amstetten (Württ);5;Baden-Württemberg;2,91 €;7,35 €;
142;VVO;Amtshainersdorf;7;Sachsen;2,46 €;6,58 €;
144;ZVRP Nord;Andernach;3;Rheinland-Pfalz;4,59 €;11,17 €;
145;RH;Anderten-Misburg;5;Niedersachsen;4,35 €;11,59 €;
147;VRR;Angermund;5;Nordrhein-Westfalen;2,32 €;5,93 €;
148;VBB;Angermünde;3;Brandenburg;7,57 €;20,21 €;
149;NASA;Angern-Rogätz;6;Sachsen-Anhalt;3,34 €;8,90 €;
150;RMV;Angersbach;6;Hessen;2,48 €;6,52 €;
151;NASA;Angersdorf;6;Sachsen-Anhalt;3,34 €;8,90 €;
152;VMV;Anklam;5;Mecklenburg-Vorpommern;3,75 €;9,97 €;
156;NASA;Annaburg;6;Sachsen-Anhalt;3,34 €;8,90 €;
158;ZÖPNV Süd;Annweiler am Trifels;5;Rheinland-Pfalz;2,95 €;7,78 €;
8242;ZÖPNV Süd;Annweiler-Sarnstall;7;Rheinland-Pfalz;1,49 €;4,01 €;
160;VRR;Anrath;5;Nordrhein-Westfalen;2,32 €;5,93 €;
161;BEG;Ansbach;3;Bayern;4,75 €;12,53 €;
163;BEG;Anwanden;6;Bayern;2,89 €;7,59 €;
164;RMV;Anzefahr;6;Hessen;2,48 €;6,52 €;
166;TLBV;Apolda;4;Thüringen;5,03 €;13,40 €;
168;VM BW;Appenweier;4;Baden-Württemberg;3,92 €;10,18 €;
169;NWL;Ardey;7;Nordrhein-Westfalen;2,48 €;6,41 €;
171;NASA;Arensdorf (b Köthen);6;Sachsen-Anhalt;3,34 €;8,90 €;
172;TLBV;Arenshausen;6;Thüringen;3,43 €;9,13 €;
173;RMV;Arfurt (Lahn);6;Hessen;2,48 €;6,52 €;
175;ZÖPNV Süd;Armsheim;5;Rheinland-Pfalz;2,95 €;7,78 €;
176;BEG;Arnbach;7;Bayern;2,13 €;5,65 €;
177;NWL;Arnsberg (Westf);4;Nordrhein-Westfalen;5,03 €;11,82 €;
4329;NWL;Arnsberg-Neheim-Hüsten;5;Nordrhein-Westfalen;3,91 €;9,89 €;
178;BEG;Arnschwang;6;Bayern;2,89 €;7,59 €;
179;VVO;Arnsdorf (b Dresden);5;Sachsen;2,08 €;5,53 €;
180;TLBV;Arnstadt Hbf;4;Thüringen;5,03 €;13,40 €;
181;TLBV;Arnstadt Süd;6;Thüringen;3,43 €;9,13 €;
184;go.R;Arsbeck;7;Nordrhein-Westfalen;3,48 €;5,28 €;
185;TLBV;Artern;6;Thüringen;3,43 €;9,13 €;
186;BEG;Arzberg (Oberfr);6;Bayern;2,89 €;7,59 €;
187;BEG;Aschaffenburg Hbf;2;Bayern;13,72 €;36,53 €;
8142;BEG;Aschaffenburg Hochschule;6;Bayern;2,89 €;7,59 €;
188;BEG;Aschaffenburg Süd;6;Bayern;2,89 €;7,59 €;
190;BEG;Aschau (Chiemgau);6;Bayern;2,89 €;7,59 €;
191;NAH.SH;Ascheberg (Holst);5;Schleswig-Holstein;3,75 €;9,91 €;
192;NWL;Ascheberg (Westf);6;Nordrhein-Westfalen;3,85 €;9,87 €;
193;LNVG;Aschendorf;6;Niedersachsen;4,23 €;10,34 €;
194;NASA;Aschersleben Pbf;4;Sachsen-Anhalt;5,24 €;13,97 €;
195;LNVG;Ashausen;6;Niedersachsen;4,23 €;10,34 €;
196;VRStutt;Asperg;4;Baden-Württemberg;2,90 €;7,74 €;
197;ZÖPNV Süd;Asselheim;7;Rheinland-Pfalz;1,49 €;4,01 €;
198;RMV;Assenheim (Oberhess);6;Hessen;2,48 €;6,52 €;
199;RMV;Aßlar;6;Hessen;2,48 €;6,52 €;
200;BEG;Aßling (Oberbay);5;Bayern;2,72 €;7,01 €;
201;RMV;Assmannshausen;5;Hessen;2,40 €;6,30 €;
202;NWL;Attendorn;6;Nordrhein-Westfalen;3,85 €;9,87 €;
7966;NWL;Attendorn Hohen-Hagen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
203;VBB Berlin;Attilastraße;4;Berlin;2,00 €;5,33 €;
204;go.R;Au (Sieg);3;Nordrhein-Westfalen;5,27 €;13,91 €;
208;TLBV;Auehütte;7;Thüringen;2,70 €;7,22 €;
209;VM BW;Auerbach (b Mosbach);6;Baden-Württemberg;2,35 €;6,18 €;
210;ZVV;Auerbach (Vogtl) Hp;7;Sachsen;3,28 €;8,76 €;
211;ZVV;Auerbach (Vogtl) ob Bf;7;Sachsen;3,28 €;8,76 €;
212;ZVV;Auerbach (Vogtl) unt Bf;7;Sachsen;3,28 €;8,76 €;
213;ZPS;Auersmacher;6;Saarland;1,54 €;4,04 €;
214;TLBV;Auerstedt;7;Thüringen;2,70 €;7,22 €;
207;NWL;Aue-Wingeshausen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
216;BEG;Aufhausen (b Erding);6;Bayern;2,89 €;7,59 €;
217;VM BW;Aufhausen (Württ);7;Baden-Württemberg;1,90 €;5,07 €;
218;VM BW;Auggen;5;Baden-Württemberg;2,91 €;7,35 €;
219;BEG;Augsburg Haunstetterstraße;3;Bayern;4,75 €;12,53 €;
220;BEG;Augsburg Hbf;2;Bayern;13,72 €;36,53 €;
7996;BEG;Augsburg Messe;5;Bayern;2,72 €;7,01 €;
222;BEG;Augsburg Morellstraße;6;Bayern;2,89 €;7,59 €;
223;BEG;Augsburg-Hochzoll;3;Bayern;4,75 €;12,53 €;
224;BEG;Augsburg-Oberhausen;4;Bayern;3,19 €;7,89 €;
225;LNVG;Augustfehn;5;Niedersachsen;4,79 €;12,40 €;
2996;NAH.SH;Aukrug;7;Schleswig-Holstein;2,21 €;5,91 €;
226;VM BW;Aulendorf;4;Baden-Württemberg;3,92 €;10,18 €;
228;RMV;Aumenau;6;Hessen;2,48 €;6,52 €;
229;NAH.SH;Aumühle;4;Schleswig-Holstein;4,78 €;12,76 €;
230;RMV;Auringen-Medenbach;6;Hessen;2,48 €;6,52 €;
231;BEG;Außenried;7;Bayern;2,13 €;5,65 €;
232;ZVRP Nord;Auw an der Kyll;6;Rheinland-Pfalz;2,27 €;5,85 €;
233;BEG;Aying;6;Bayern;2,89 €;7,59 €;
236;NASA;Baalberge;6;Sachsen-Anhalt;3,34 €;8,90 €;
8284;BEG;Baar-Ebenhausen;6;Bayern;2,89 €;7,59 €;
237;VBB;Babelsberg;5;Brandenburg;3,44 €;9,13 €;
238;RMV;Babenhausen (Hess);5;Hessen;2,40 €;6,30 €;
3564;RMV;Babenhausen Langstadt;7;Hessen;1,88 €;4,96 €;
239;VM BW;Babstadt;7;Baden-Württemberg;1,90 €;5,07 €;
240;ZÖPNV Süd;Bacharach;5;Rheinland-Pfalz;2,95 €;7,78 €;
241;BEG;Bachern;7;Bayern;2,13 €;5,65 €;
242;TLBV;Bachfeld;7;Thüringen;2,70 €;7,22 €;
243;VM BW;Bachheim;7;Baden-Württemberg;1,90 €;5,07 €;
244;VM BW;Backnang;3;Baden-Württemberg;5,29 €;13,61 €;
245;BEG;Bad Abbach;6;Bayern;2,89 €;7,59 €;
246;BEG;Bad Aibling;5;Bayern;2,72 €;7,01 €;
630;BEG;Bad Aibling Kurpark;6;Bayern;2,89 €;7,59 €;
247;VM BW;Bad Bellingen;6;Baden-Württemberg;2,35 €;6,18 €;
478;VBB;Bad Belzig;5;Brandenburg;3,44 €;9,13 €;
248;LNVG;Bad Bentheim;5;Niedersachsen;4,79 €;12,40 €;
7184;ZÖPNV Süd;Bad Bergzabern;6;Rheinland-Pfalz;1,99 €;5,22 €;
249;TLBV;Bad Berka;7;Thüringen;2,70 €;7,22 €;
7999;TLBV;Bad Berka Zeughausplatz;7;Thüringen;2,70 €;7,22 €;
251;NWL;Bad Berleburg;6;Nordrhein-Westfalen;3,85 €;9,87 €;
253;LNVG;Bad Bevensen;5;Niedersachsen;4,79 €;12,40 €;
256;TLBV;Bad Blankenburg (Thüringerw);6;Thüringen;3,43 €;9,13 €;
257;ZVRP Nord;Bad Bodendorf;6;Rheinland-Pfalz;2,27 €;5,85 €;
742;LNVG;Bad Bodenteich;6;Niedersachsen;4,23 €;10,34 €;
258;ZVV;Bad Brambach;6;Sachsen;3,51 €;9,38 €;
259;ZVRP Nord;Bad Breisig;5;Rheinland-Pfalz;2,59 €;5,24 €;
261;RMV;Bad Camberg;5;Hessen;2,40 €;6,30 €;
262;VMV;Bad Doberan;5;Mecklenburg-Vorpommern;3,75 €;9,97 €;
264;NWL;Bad Driburg (Westf);6;Nordrhein-Westfalen;3,85 €;9,87 €;
266;ZÖPNV Süd;Bad Dürkheim;4;Rheinland-Pfalz;2,84 €;7,40 €;
267;ZÖPNV Süd;Bad Dürkheim-Trift;6;Rheinland-Pfalz;1,99 €;5,22 €;
268;NASA;Bad Dürrenberg;6;Sachsen-Anhalt;3,34 €;8,90 €;
269;ZVV;Bad Elster;7;Sachsen;3,28 €;8,76 €;
271;ZVRP Nord;Bad Ems;5;Rheinland-Pfalz;2,59 €;5,24 €;
272;ZVRP Nord;Bad Ems West;6;Rheinland-Pfalz;2,27 €;5,85 €;
274;BEG;Bad Endorf (Oberbay);4;Bayern;3,19 €;7,89 €;
1760;LNVG;Bad Fallingbostel;5;Niedersachsen;4,79 €;12,40 €;
276;VBB;Bad Freienwalde (Oder);6;Brandenburg;3,98 €;10,22 €;
277;VM BW;Bad Friedrichshall Hbf;3;Baden-Württemberg;5,29 €;13,61 €;
278;VM BW;Bad Friedrichshall-Kochendorf;6;Baden-Württemberg;2,35 €;6,18 €;
279;LNVG;Bad Gandersheim;6;Niedersachsen;4,23 €;10,34 €;
280;VM BW;Bad Griesbach;6;Baden-Württemberg;2,35 €;6,18 €;
2289;BEG;Bad Grönenbach;6;Bayern;2,89 €;7,59 €;
281;RVB;Bad Harzburg;3;Niedersachsen;3,91 €;10,43 €;
282;NVV;Bad Hersfeld;3;Hessen;16,00 €;42,71 €;
2886;NWL;Bad Holzhausen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
284;RMV;Bad Homburg;3;Hessen;4,14 €;10,93 €;
285;go.R;Bad Honnef (Rhein);5;Nordrhein-Westfalen;2,69 €;7,09 €;
286;ZVRP Nord;Bad Hönningen;4;Rheinland-Pfalz;4,57 €;11,36 €;
287;NVV;Bad Karlshafen;7;Hessen;2,53 €;6,77 €;
288;BEG;Bad Kissingen;5;Bayern;2,72 €;7,01 €;
289;VMV;Bad Kleinen;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
290;BEG;Bad Kohlgrub;7;Bayern;2,13 €;5,65 €;
291;BEG;Bad Kohlgrub Kurhaus;7;Bayern;2,13 €;5,65 €;
292;RMV;Bad König;6;Hessen;2,48 €;6,52 €;
6989;RMV;Bad König-Zell;7;Hessen;1,88 €;4,96 €;
294;NASA;Bad Kösen;5;Sachsen-Anhalt;3,29 €;8,62 €;
295;TLBV;Bad Köstritz;6;Thüringen;3,43 €;9,13 €;
3390;BEG;Bad Kötzting;6;Bayern;2,89 €;7,59 €;
296;ZÖPNV Süd;Bad Kreuznach;3;Rheinland-Pfalz;3,96 €;10,57 €;
297;VM BW;Bad Krozingen;4;Baden-Württemberg;3,92 €;10,18 €;
298;TLBV;Bad Langensalza;4;Thüringen;5,03 €;13,40 €;
301;ZVNL;Bad Lausick;5;Sachsen;3,24 €;8,61 €;
8081;LNVG;Bad Lauterberg im Harz Barbis;7;Niedersachsen;2,85 €;7,60 €;
303;VBB;Bad Liebenwerda;7;Brandenburg;3,21 €;8,56 €;
304;VM BW;Bad Liebenzell;6;Baden-Württemberg;2,35 €;6,18 €;
3753;TLBV;Bad Lobenstein;6;Thüringen;3,43 €;9,13 €;Name alt: Lobenstein (Thür)
3913;NAH.SH;Bad Malente-Gremsmühlen;5;Schleswig-Holstein;3,75 €;9,91 €;
306;LNVG;Bad Münder (Deister);5;Niedersachsen;4,79 €;12,40 €;
307;ZÖPNV Süd;Bad Münster am Stein;4;Rheinland-Pfalz;2,84 €;7,40 €;
308;go.R;Bad Münstereifel;6;Nordrhein-Westfalen;3,77 €;8,76 €;
174;go.R;Bad Münstereifel Arloff;7;Nordrhein-Westfalen;3,48 €;5,28 €;
3018;go.R;Bad Münstereifel-Iversheim;6;Nordrhein-Westfalen;3,77 €;8,76 €;
310;RMV;Bad Nauheim;4;Hessen;2,78 €;6,42 €;
311;LNVG;Bad Nenndorf;5;Niedersachsen;4,79 €;12,40 €;
312;ZVRP Nord;Bad Neuenahr;5;Rheinland-Pfalz;2,59 €;5,24 €;
313;BEG;Bad Neustadt (Saale);5;Bayern;2,72 €;7,01 €;
314;VM BW;Bad Niedernau;6;Baden-Württemberg;2,35 €;6,18 €;
315;NWL;Bad Oeynhausen;3;Nordrhein-Westfalen;7,97 €;17,74 €;
316;NWL;Bad Oeynhausen Süd;6;Nordrhein-Westfalen;3,85 €;9,87 €;
317;NAH.SH;Bad Oldesloe;2;Schleswig-Holstein;26,39 €;70,43 €;
318;VM BW;Bad Peterstal;6;Baden-Württemberg;2,35 €;6,18 €;
319;LNVG;Bad Pyrmont;5;Niedersachsen;4,79 €;12,40 €;
320;VM BW;Bad Rappenau;5;Baden-Württemberg;2,91 €;7,35 €;
8274;VM BW;Bad Rappenau Kurpark;6;Baden-Württemberg;2,35 €;6,18 €;
321;BEG;Bad Reichenhall;5;Bayern;2,72 €;7,01 €;
322;BEG;Bad Reichenhall-Kirchberg;6;Bayern;2,89 €;7,59 €;
5302;BEG;Bad Rodach (b Coburg);6;Bayern;2,89 €;7,59 €;
324;VBB;Bad Saarow;7;Brandenburg;3,21 €;8,56 €;
326;LNVG;Bad Sachsa;6;Niedersachsen;4,23 €;10,34 €;
327;VM BW;Bad Säckingen;5;Baden-Württemberg;2,91 €;7,35 €;
328;LNVG;Bad Salzdetfurth;7;Niedersachsen;2,85 €;7,60 €;
8064;LNVG;Bad Salzdetfurth-Solebad;7;Niedersachsen;2,85 €;7,60 €;
329;RMV;Bad Salzhausen;6;Hessen;2,48 €;6,52 €;
331;RMV;Bad Salzschlirf;6;Hessen;2,48 €;6,52 €;
332;NWL;Bad Salzuflen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
6129;NWL;Bad Salzuflen-Sylbach;6;Nordrhein-Westfalen;3,85 €;9,87 €;Name alt: Sylbach
333;TLBV;Bad Salzungen;6;Thüringen;3,43 €;9,13 €;
334;NWL;Bad Sassendorf;6;Nordrhein-Westfalen;3,85 €;9,87 €;
5520;VM BW;Bad Saulgau;6;Baden-Württemberg;2,35 €;6,18 €;
335;VVO;Bad Schandau;4;Sachsen;2,53 €;6,78 €;
341;VM BW;Bad Schönborn Kronau;6;Baden-Württemberg;2,35 €;6,18 €;
340;VM BW;Bad Schönborn Süd;4;Baden-Württemberg;3,92 €;10,18 €;
342;VM BW;Bad Schussenried;5;Baden-Württemberg;2,91 €;7,35 €;
343;NAH.SH;Bad Schwartau;5;Schleswig-Holstein;3,75 €;9,91 €;
344;VM BW;Bad Sebastiansweiler-Belsen;6;Baden-Württemberg;2,35 €;6,18 €;
345;NAH.SH;Bad Segeberg;6;Schleswig-Holstein;3,53 €;9,43 €;
5875;ZÖPNV Süd;Bad Sobernheim;5;Rheinland-Pfalz;2,95 €;7,78 €;
346;RMV;Bad Soden (Taunus);5;Hessen;2,40 €;6,30 €;
347;RMV;Bad Soden-Salmünster;5;Hessen;2,40 €;6,30 €;
348;NVV;Bad Sooden-Allendorf;6;Hessen;2,73 €;7,26 €;
349;NAH.SH;Bad St Peter Süd;7;Schleswig-Holstein;2,21 €;5,91 €;
350;NAH.SH;Bad St Peter-Ording;6;Schleswig-Holstein;3,53 €;9,43 €;
5963;BEG;Bad Staffelstein;5;Bayern;2,72 €;7,01 €;
351;BEG;Bad Steben;7;Bayern;2,13 €;5,65 €;
353;TLBV;Bad Sulza;6;Thüringen;3,43 €;9,13 €;
354;TLBV;Bad Sulza Nord;7;Thüringen;2,70 €;7,22 €;
355;VM BW;Bad Teinach-Neubulach;7;Baden-Württemberg;1,90 €;5,07 €;
357;BEG;Bad Tölz;6;Bayern;2,89 €;7,59 €;
358;RMV;Bad Vilbel;3;Hessen;4,14 €;10,93 €;
359;RMV;Bad Vilbel Süd;5;Hessen;2,40 €;6,30 €;
2287;RMV;Bad Vilbel-Gronau;6;Hessen;2,48 €;6,52 €;
360;VM BW;Bad Waldsee;6;Baden-Württemberg;2,35 €;6,18 €;
363;VBB;Bad Wilsnack;6;Brandenburg;3,98 €;10,22 €;
364;VM BW;Bad Wimpfen;6;Baden-Württemberg;2,35 €;6,18 €;
8273;VM BW;Bad Wimpfen im Tal;6;Baden-Württemberg;2,35 €;6,18 €;
365;VM BW;Bad Wimpfen-Hohenstadt;6;Baden-Württemberg;2,35 €;6,18 €;
366;BEG;Bad Windsheim;6;Bayern;2,89 €;7,59 €;
367;BEG;Bad Wörishofen;6;Bayern;2,89 €;7,59 €;
368;LNVG;Bad Zwischenahn;5;Niedersachsen;4,79 €;12,40 €;
369;RVB;Baddeckenstedt;6;Niedersachsen;4,87 €;10,77 €;
370;LNVG;Baden (Kr Verden);5;Niedersachsen;4,79 €;12,40 €;
371;VM BW;Baden-Baden;3;Baden-Württemberg;5,29 €;13,61 €;
7159;VM BW;Baden-Baden Haueneberstein;6;Baden-Württemberg;2,35 €;6,18 €;
6236;VM BW;Baden-Baden Rebland;6;Baden-Württemberg;2,35 €;6,18 €;
373;VBB;Bagenz;6;Brandenburg;3,98 €;10,22 €;
374;VBB;Bahnsdorf;6;Brandenburg;3,98 €;10,22 €;
376;BWVI;Bahrenfeld;4;Hamburg;2,79 €;6,93 €;
377;BEG;Baierbrunn;6;Bayern;2,89 €;7,59 €;
379;BEG;Baiersdorf;5;Bayern;2,72 €;7,01 €;
380;VBB;Baitz;6;Brandenburg;3,98 €;10,22 €;
381;BEG;Balbersdorf;7;Bayern;2,13 €;5,65 €;
382;BEG;Baldham;5;Bayern;2,72 €;7,01 €;
383;ZVRP Nord;Balduinstein;6;Rheinland-Pfalz;2,27 €;5,85 €;
8032;VM BW;Balgheim;7;Baden-Württemberg;1,90 €;5,07 €;
384;NASA;Balgstädt;7;Sachsen-Anhalt;2,77 €;7,39 €;
385;VM BW;Balingen (Württ);4;Baden-Württemberg;3,92 €;10,18 €;
386;VM BW;Balingen Süd;6;Baden-Württemberg;2,35 €;6,18 €;
